Comments,Cleaned_Comments,Translated_Comments
") Taiwan legislator Hsu Chih-chieh held a joint Taiwanese and Japanese international press conference about global legislation to combat forced organ harvesting on July 15, 2024. The human rights legislative committee of the Legislative Yuan invited a former doctor from China, Zheng Zhi, to speak at the press conference. Zheng Zhi was an intern in the Department of Urology at the Shenyang Army General Hospital when he participated in the Chinese Communist Party’s (CCP) live organ harvesting. He said hopes to tell more people about the atrocities that he witnessed.<br><br>In addition to Taiwanese legislators Hsu Chih-chieh and Chen Zhao-zi, representatives of the Taiwan Medical Association and the Taiwan Lawyers Association expressed their support for legislation on organ harvesting. Hiroaki Maruyama, the chairman of Japan’s “Stop Medical Genocide – Society for the Study of Organ Transplantation in China” (SMG Network) also attended the event.<br><br><br>International press conference in Taiwan on “Legislation to combat organ harvesting” on July 15, 2024<br><br>Zheng Zhi was an intern at the Department of Urology at the Shenyang Army General Hospital, when in 1994, he, three other military doctors, a head nurse and a female nurse were asked to participate in a secret military mission. He was ordered to harvest the organs of an army officer who was under the age of 18.<br><br>Zheng Zhi said that at that time, the young officer’s hands, feet and neck were tied with thin ropes, and there were soldiers with submachine guns standing guard nearby. After the head nurse cut open the clothes for disinfection, a military doctor directly disemboweled the patient without using anesthesia. He made a large incision from under the xiphoid process (under the sternum) and cut directly to the umbilicus. The intestines were removed.<br><br>At that time, the medical providers were divided into two groups, each removing the left and right kidneys. A military doctor ordered Zheng Zhi to cut open the artery and vein, and when he did, blood gushed out. He recalled, “I immediately knew he was still alive, because the blood in the abdominal cavity was flowing.” <br><br>Then, the military doctor ordered him to remove the eyeball, but after taking off the bandage wrapped around his face, he said, “I saw the young officer’s eyes looking straight at me, and his eyelids were still moving. I said I really couldn’t do it. I really couldn’t do it. The other military doctor immediately took the hemostatic forceps and pressed the [young officer’s] forehead, and then directly dug out the eyeball with his right hand,” Zheng Zhi related, as he wept.<br><br>“After going through all this, I was about to collapse. I really couldn’t take any more. I quickly asked the director for a leave to go home. This was a great shock to me. The young officer was less than 18 years old, almost the same age as me... such a vibrant life. But I didn’t dare tell anyone. An officer warned me that if I told anyone, my life would be in danger.”<br><br>In 2005, a close confidant of a member of the CCP’s Politburo Standing Committee who had a good relationship with Zheng Zhi’s family visited him during the Chinese New Year and said, “In the basement of the rear garden of the Public Security Bureau in Wuhan, Hubei Province, there are many Falun Gong practitioners, including underage children.”<br><br>A Choice Between Good and Evil",taiwan legislator hsu chihchieh held a joint taiwanese and japanese international press conference about global legislation to combat forced organ harvesting on july the human rights legislative committee of the legislative yuan invited a former doctor from china zheng zhi to speak at the press conference zheng zhi was an intern in the department of urology at the shenyang army general hospital when he participated in the chinese communist partys ccp live organ harvesting he said hopes to tell more people about the atrocities that he witnessed br brin addition to taiwanese legislators hsu chihchieh and chen zhaozi representatives of the taiwan medical association and the taiwan lawyers association expressed their support for legislation on organ harvesting hiroaki maruyama the chairman of japans stop medical genocide society for the study of organ transplantation in china smg network also attended the event br br brinternational press conference in taiwan on legislation to combat organ harvesting on july br brzheng zhi was an intern at the department of urology at the shenyang army general hospital when in he three other military doctors a head nurse and a female nurse were asked to participate in a secret military mission he was ordered to harvest the organs of an army officer who was under the age of br brzheng zhi said that at that time the young officers hands feet and neck were tied with thin ropes and there were soldiers with submachine guns standing guard nearby after the head nurse cut open the clothes for disinfection a military doctor directly disemboweled the patient without using anesthesia he made a large incision from under the xiphoid process under the sternum and cut directly to the umbilicus the intestines were removed br brat that time the medical providers were divided into two groups each removing the left and right kidneys a military doctor ordered zheng zhi to cut open the artery and vein and when he did blood gushed out he recalled i immediately knew he was still alive because the blood in the abdominal cavity was flowing br brthen the military doctor ordered him to remove the eyeball but after taking off the bandage wrapped around his face he said i saw the young officers eyes looking straight at me and his eyelids were still moving i said i really couldnt do it i really couldnt do it the other military doctor immediately took the hemostatic forceps and pressed the young officers forehead and then directly dug out the eyeball with his right hand zheng zhi related as he wept br brafter going through all this i was about to collapse i really couldnt take any more i quickly asked the director for a leave to go home this was a great shock to me the young officer was less than years old almost the same age as me such a vibrant life but i didnt dare tell anyone an officer warned me that if i told anyone my life would be in danger br brin a close confidant of a member of the ccps politburo standing committee who had a good relationship with zheng zhis family visited him during the chinese new year and said in the basement of the rear garden of the public security bureau in wuhan hubei province there are many falun gong practitioners including underage children br bra choice between good and evil,taiwan legislator hsu chihchieh held a joint taiwanese and japanese international press conference about global legislation to combat forced organ harvesting on july the human rights legislative committee of the legislative yuan invited a former doctor from china zheng zhi to speak at the press conference zheng zhi was an intern in the department of urology at the shenyang army general hospital when he participated in the chinese communist partys ccp live organ harvesting he said hopes to tell more people about the atrocities that he witnessed br brin addition to taiwanese legislators hsu chihchieh and chen zhaozi representatives of the taiwan medical association and the taiwan lawyers association expressed their support for legislation on organ harvesting hiroaki maruyama the chairman of japans stop medical genocide society for the study of organ transplantation in china smg network also attended the event br br brinternational press conference in taiwan on legislation to combat organ harvesting on july br brzheng zhi was an intern at the department of urology at the shenyang army general hospital when in he three other military doctors a head nurse and a female nurse were asked to participate in a secret military mission he was ordered to harvest the organs of an army officer who was under the age of br brzheng zhi said that at that time the young officers hands feet and neck were tied with thin ropes and there were soldiers with submachine guns standing guard nearby after the head nurse cut open the clothes for disinfection a military doctor directly disemboweled the patient without using anesthesia he made a large incision from under the xiphoid process under the sternum and cut directly to the umbilicus the intestines were removed br brat that time the medical providers were divided into two groups each removing the left and right kidneys a military doctor ordered zheng zhi to cut open the artery and vein and when he did blood gushed out he recalled i immediately knew he was still alive because the blood in the abdominal cavity was flowing br brthen the military doctor ordered him to remove the eyeball but after taking off the bandage wrapped around his face he said i saw the young officers eyes looking straight at me and his eyelids were still moving i said i really couldnt do it i really couldnt do it the other military doctor immediately took the hemostatic forceps and pressed the young officers forehead and then directly dug out the eyeball with his right hand zheng zhi related as he wept br brafter going through all this i was about to collapse i really couldnt take any more i quickly asked the director for a leave to go home this was a great shock to me the young officer was less than years old almost the same age as me such a vibrant life but i didnt dare tell anyone an officer warned me that if i told anyone my life would be in danger br brin a close confidant of a member of the ccps politburo standing committee who had a good relationship with zheng zhis family visited him during the chinese new year and said in the basement of the rear garden of the public security bureau in wuhan hubei province there are many falun gong practitioners including underage children br bra choice between good and evil
"Yoo olu adu tamil dubbing karane kekkanum , in telugu both speaks japanese",yoo olu adu tamil dubbing karane kekkanum in telugu both speaks japanese,Yoo Olu Adu Tamil Dubbing Karane Kekane in Telugu Both Speaks Japanese
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=35"">0:35</a> level up, advanced English skills.",a href level up advanced english skills,a href level up advanced english skills
ஒரு போட்டாவுக்கடா இந்த அக்க போரு 😂 செம மூவி 🔥,ஒர படடவககட இநத அகக பர சம மவ,Once in a picture
🫵🤌👉🔥🔥🔥pu,pu,pu
Yow blue sattai neee solratha vida mokka padam ya,yow blue sattai neee solratha vida mokka padam ya,Yow Blue Sattai Neee Solratha Vida Mokka goes out huh
Padama ethu...karumam..hyped..not meeting the hype..disappointed.,padama ethukarumamhypednot meeting the hypedisappointed,padama ethukarumamhypednot meeting the hypedisappointed
"ஐயா இன்று நான் ஒத்துக்கொள்கிறேன் இது உண்மையான விமர்சனம்... உங்களுக்கு என்னவெல்லாம் தோன்றுகிறதோ அதுதான் எனக்கும் தோன்றியது இந்த படம் பார்க்கும்போது முதல் வாகும் நன்றாகவே இருந்தது puspa 1, புஷ்பா 2 இதில் ஃபர்ஸ்ட் ஆஃப் நன்றாக இருந்தது அந்த சண்டைக்காட்சி தவிர செகண்ட் ஆஃப் ரொம்பவே அறுவை தான் ஒரு ஒரு சீனும் அரை மணி நேரம் நடக்கிறது கிளைமாக்ஸில் சண்டைக்காட்சி அதிகப்படியான பில்டப் காட்சிகள் தான் இருந்தது இரண்டு கை இரண்டு காலும் கட்டி விட்ட பிறகு வாயால் கடித்து கடித்து சண்டை போடுகிறார் ஹீரோ😅😅😅 புஷ்பா 2 அழுத்தமான கதையாக இல்லை",ஐய இனற நன ஒததககளகறன இத உணமயன வமரசனம உஙகளகக எனனவலலம தனறகறத அததன எனககம தனறயத இநத படம பரககமபத மதல வகம நனறகவ இரநதத puspa பஷப இதல ஃபரஸட ஆஃப நனறக இரநதத அநத சணடககடச தவர சகணட ஆஃப ரமபவ அறவ தன ஒர ஒர சனம அர மண நரம நடககறத களமகஸல சணடககடச அதகபபடயன பலடப கடசகள தன இரநதத இரணட க இரணட கலம கடட வடட பறக வயல கடதத கடதத சணட படகறர ஹர பஷப அழததமன கதயக இலல,"This is the most important thing to do in the world, but it is the most important thing to do. நரம நடககறத களமகஸல சணடககடச அதகபபடயன பலடப கடசகள தன இரநதத இரணட க இரணட கலம கடட வடட பறக வயல கடதத கடதத சணட படகறர ஹர பஷப அழததமன கதயக இலல"
Antha &quot;dhideer thalapathy &quot; dialogue block buster🎉❤,antha quotdhideer thalapathy quot dialogue block buster,antha quotdhideer thalapathy quot dialogue block buster
"Unakalam yeppadi padam adutha pidikkum sollunga sir,<br>Unga mariyathaiya nengalea kiduthukeringa enemea unga chennal pakka mattan waste of time",unakalam yeppadi padam adutha pidikkum sollunga sirbrunga mariyathaiya nengalea kiduthukeringa enemea unga chennal pakka mattan waste of time,UNAKALAM YEPPADI ADUTHA PIDIKKUM SOLLUNGA SIRBRUNGA MARIYATHAIYA NENGALEA KIDUTHUKERINGA Enemea Unga Chennal Pakka Mattan Waste of Time
Uncle retirement edtu veetle okkaru.. Unmadiri idiots nale da tamilians e pata comedians madiri pakrango.. Edo tamil le ta world le illatey movies edta madiri.. Cinema ve tamil kare kandu pudicha madiri overaction pannivinga... Silly fellows,uncle retirement edtu veetle okkaru unmadiri idiots nale da tamilians e pata comedians madiri pakrango edo tamil le ta world le illatey movies edta madiri cinema ve tamil kare kandu pudicha madiri overaction pannivinga silly fellows,Uncle Retirement Edtu Veetle Okkaru Unmadiri IDIOTS NALE from Tamilians and Pata Comedians Madiri Pakrango Edo Tamil le ta world le illatey movies Edta Madiri Cinema Ve Tamil Kare Kandu Picicha Madiri Overaction Panniving Silly Fellows
We tamil audience don&#39;t support logicless movies like Pushpa not because of jealousy.These Telugu brainless chapris won&#39;t understand .We did the same for Kanguva.We Tamil audience support other state movies like Avesham and Kgf. It should be genuinely good,we tamil audience dont support logicless movies like pushpa not because of jealousythese telugu brainless chapris wont understand we did the same for kanguvawe tamil audience support other state movies like avesham and kgf it should be genuinely good,we tamil audience dont support logicless movies like pushpa not because of jealousythese telugu brainless chapris wont understand we did the same for kanguvawe tamil audience support other state movies like avesham and kgf it should be genuinely good
Correct review 😅👍🏻,correct review,correct review
ப்ளூ சட்டை பின்னிட்ட பின்னிட்ட😂😂😂,பள சடட பனனடட பனனடட,Panadanada Pananada
புதுசா இருக்குனே புதுசா இருக்கு 😂😂,பதச இரககன பதச இரகக,Global variety
வெச்சு செய்தல் என்றால் என்ன ? இப்படம் பார்க்கவும்,வசச சயதல எனறல எனன இபபடம பரககவம,This is the most important thing
Review pakama movie ku ponsthu yean thsppu thanda,review pakama movie ku ponsthu yean thsppu thanda,review pakama movie ku ponsthu yean thsppu thanda
Best review,best review,best review
Ajithey kadaule,ajithey kadaule,abethey Kalaale
😂😂😂 classical rewiew 😂😂😂👏,classical rewiew,classical rewiew
Part 1 - allu&#39;s intro dialogue... &quot; Pacha telungan&quot;<br><br>Part 2 - intro dialogue.. &quot; ivan kandipa telungan&quot; <br><br>In tamil dub movie la telugu dominate,part allus intro dialogue quot pacha telunganquotbrbrpart intro dialogue quot ivan kandipa telunganquot brbrin tamil dub movie la telugu dominate,Part ALLUS Intro Dialogue Quot Pacha Telunganquotbrbrprart Intrial Dialogue quot Ivan Kandipa Telunganquot Brbrin Tamil Dub Movie La Telugu dominate
Thatha intro Fight Kanavu (Dream).. that’s why no logic but movie 100 💯 block buster…,thatha intro fight kanavu dream thats why no logic but movie block buster,thatha intro fight kanavu dream thats why no logic but movie block buster
