Comments,Cleaned_Comments,Translated_Comments,Fully_Cleaned_Comments,Sentiment
Tamil nadu reviewers are busy in finding logic😂😂😂😂….in the mean tine movie will cross 1000 crs,tamil nadu reviewers are busy in finding logicin the mean tine movie will cross crs,tamil nadu reviewers are busy in finding logicin the mean tine movie will cross crs,tamil nadu reviewers are busy in finding logicin the mean tine movie will cross crs,Negative
Vera leval movei😮 பார்த்தவங்க சொன்னாங்க பா,vera leval movei பரததவஙக சனனஙக ப,Vera Leval Movei,Vera Leval Movei,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=285"">4:45</a> 😂😂😂 athu sari thaan..mokka pottutanunga",a href athu sari thaanmokka pottutanunga,A Href Athu Sari Thaanmokka Pottutanunga,A Href Athu Sari Thaanmokka Pottutanunga,Neutral
படம் நல்லா இருக்குன்னு சொல்லு இல்ல நல்லா இல்லைன்னு சொல்லு பாக்கலாம்னு சொல்லு இல்ல பாக்க வேணாம்னு சொல்லு படத்துக்கு விமர்சனம் சொல்ற நீ ஏன் இவ்வளவு குழம்பும் போது படம் எடுத்தவன் எவ்வளவு குழம்புவான்னு சொல்லு,படம நலல இரககனன சலல இலல நலல இலலனன சலல பககலமன சலல இலல பகக வணமன சலல படததகக வமரசனம சலற ந ஏன இவவளவ கழமபம பத படம எடததவன எவவளவ கழமபவனன சலல,Image Gallery,Image Gallery,Neutral
TVK confirmed in 2026,tvk confirmed in,tvk confirmed in,tvk confirmed in,Positive
Going now😂,going now,Going now,Going now,Neutral
Seriously idk how can a normal film can score in box office rather than better movies....t,seriously idk how can a normal film can score in box office rather than better moviest,seriously idk how can a normal film can score in box office rather than better moviest,seriously idk how can a normal film can score in box office rather than better moviest,Positive
😂,,,,Neutral
"Movie super ah irku ,,,,orey mari lam ilama ,,,super 🎉 mass ah class ah irku",movie super ah irku orey mari lam ilama super mass ah class ah irku,Super Ah Irku Movie orey Let's Lam ILAMA SUPER MASS AH CLASS AH IRKU,Super Ah Irku Movie orey Lets Lam ILAMA SUPER MASS AH CLASS AH IRKU,Positive
വല്ല പണിക്കും പോയി ജീവിക്കുചേട്ടാ 😅😅,വലല പണകക പയ ജവകകചടട,Victory Rail Money,Victory Rail Money,Neutral
He just Roasted Kollywood in this review,he just roasted kollywood in this review,he just roasted kollywood in this review,he just roasted kollywood in this review,Neutral
ஒரு படம் நல்ல ஓடுன உங்களுக்கு பொறுக்காதே  நீங்க இதுவரைக்கும் எந்த படம் சரி சரியாக சொல்லி இருக்கீங்க,ஒர படம நலல ஓடன உஙகளகக பறககத நஙக இதவரககம எநத படம சர சரயக சலல இரககஙக,A picture of a picture of you,A picture of a picture of you,Neutral
Jagapathibaabu mela உங்களுக்கு என்ன கோவம்..,jagapathibaabu mela உஙகளகக எனன கவம,JAGAPATHIBABU MELA உஙகளகக எனன கவம,JAGAPATHIBABU MELA,Neutral
😂😂😂,,,,Neutral
Nee yevlo katharanalum padam 1000cr confirm,nee yevlo katharanalum padam cr confirm,nee yevlo katharanalum padam cr confirm,nee yevlo katharanalum padam cr confirm,Neutral
Dei first scene dream da,dei first scene dream da,Dei First Scene Dream Yes,Dei First Scene Dream Yes,Positive
யூ புளு சட்டை பங்கம் பங்கம்,ய பள சடட பஙகம பஙகம,Balance Sheet,Balance Sheet,Neutral
😂😂😂😂,,,,Neutral
பச்சை சட்ட மட்டும்தான் தெரியுது கீழே எதாவது போட்டு இருக்தியாடா முக்கியமா யட்டி போடிகியாடா😅😅,பசச சடட மடடமதன தரயத கழ எதவத படட இரகதயட மககயம யடட படகயட,What is the best way to do this,What is the best way to do this,Positive
"பிரமாண்டம் ,  கதை ஒன்றும் இல்லை , அண்ணன் ப்ளூ சட்டை அவர்கள் சொன்னது போல படத்தை எதற்கு பார்த்தோம் என்று தோன்றுகிறது ,But Not Boring .",பரமணடம கத ஒனறம இலல அணணன பள சடட அவரகள சனனத பல படதத எதறக பரததம எனற தனறகறத but not boring,Paramanadama Story,Paramanadama Story,Neutral
Moreover he will convert the wooden logs into bullock carts. What’s the use of finished products! What will the buyer do with that?,moreover he will convert the wooden logs into bullock carts whats the use of finished products what will the buyer do with that,moreover he will convert the wooden logs into bullock carts whats the use of finished products what will the buyer do with that,moreover he will convert the wooden logs into bullock carts whats the use of finished products what will the buyer do with that,Neutral
Goomallo Block Baster Movie... ❤,goomallo block baster movie,goomallo block baster movie,goomallo block baster movie,Neutral
"அப்படியே நான் நினைத்ததை சொல்லி விட்டீர்கள், தலைவரே,, ஆனாலும் படம் ok, ஒரு முறை பார்க்கலாம்,,",அபபடய நன நனததத சலல வடடரகள தலவர ஆனலம படம ok ஒர மற பரககலம,Apadaya Nana Nanadatha Salala Vadadarakala Talavarama Analama Image OK,Apadaya Nana Nanadatha Salala Vadadarakala Talavarama Analama Image OK,Positive
புஷ்பா ணா ஃப்ளவர்ணு  நினைச்சியா  பீ டா பி 😭🤢,பஷப ண ஃபளவரண நனசசய ப ட ப,PASSABLE PROPERTY,PASSABLE PROPERTY,Neutral
Nee poi padam edu nalla padam onnu,nee poi padam edu nalla padam onnu,nee Poi Poam Success Nalla Padam Haws,nee Poi Poam Success Nalla Padam Haws,Positive
😢,,,,Neutral
Jay Jay movie learn Bengali 30days 😂😂😂😂,jay jay movie learn bengali days,Jay Jay Movie Learn Bengali Days,Jay Jay Movie Learn Bengali Days,Neutral
Work from home green mat movies 😂😂😂 Vijay movies 😂😂😂,work from home green mat movies vijay movies,Work from Home Green Mat Movies Vijay Movies,Work from Home Green Mat Movies Vijay Movies,Negative
Allu Arjun king all world king❤❤❤❤❤❤❤,allu arjun king all world king,Allo Arjun King All World King,Allo Arjun King All World King,Neutral
"it&#39;s really a worth and best movie for Telugu audience...1st part is for all audience...part 2 is for Telugu audience....<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=201"">3:21</a>mins is not boring and not lag in some scene...but it&#39;s not a family audience movie",its really a worth and best movie for telugu audiencest part is for all audiencepart is for telugu audiencea href is not boring and not lag in some scenebut its not a family audience movie,its really a worth and best movie for telugu audiencest part is for all audiencepart is for telugu audiencea href is not boring and not lag in some scenebut its not a family audience movie,its really a worth and best movie for telugu audiencest part is for all audiencepart is for telugu audiencea href is not boring and not lag in some scenebut its not a family audience movie,Positive
Irunga Bhai Na innum Pushpa 1 hey paakala Bhai😅😅😅,irunga bhai na innum pushpa hey paakala bhai,irunga bhai na innum pushpa hey paida bhai,irunga bhai na innum pushpa hey paida bhai,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=319"">5:19</a> 😂",a href,and href,and href,Neutral
"Japan karan Japanese la tha pesuran, allu arjun num Japanese la pesuran in telugu movie...<br><br>Tamil dubbing la tha antha mathiri panitanga ... Watch movie in telugu once .",japan karan japanese la tha pesuran allu arjun num japanese la pesuran in telugu moviebrbrtamil dubbing la tha antha mathiri panitanga watch movie in telugu once,Japan Karan Japanese La Tha Pesuran Allu Arjun Num Japanese La Pesuran in Telugu Moviebrtamil Dubbing La THA Antha Mathiri Panita Watch Movie in Telugu Once,Japan Karan Japanese La Tha Pesuran Allu Arjun Num Japanese La Pesuran in Telugu Moviebrtamil Dubbing La THA Antha Mathiri Panita Watch Movie in Telugu Once,Neutral
